index,Name,Address,Reviews,Rating,Kecamatan,Latitude,Longitude,kategori,No Sertifikat
3190,ayam goreng nelongso wijaya kusuma,dukuh kupang 20 10a dukuh kupang dukuhpakis 60225,1704,4.2,dukuhpakis,-7.281828,112.7128919,restoran,ID
3096,burger king basuki rahmat,pert darmo park 1 bl 4 b 3 60256 embong kaliasin genteng 60271,2189,4.6,genteng,-7.2641749,112.7415816,restoran,ID
3092,burger king merr,dr ir h soekarno kedung baruk rungkut 60298,4775,4.5,rungkut,-7.3171333,112.7813081,restoran,ID
3179,bakmi gm tunjungan plaza,tunjungan plaza 6 lt 5 kedungdoro tegalsari 60261,2547,4.5,tegalsari,-7.2620014,112.7378657,restoran,ID
2987,richeese factory rungkut madya,rungkut madya 61 rungkut kidul rungkut 60293,2944,4.4,rungkut,-7.3311904,112.7759465,restoran,ID
3187,ayam goreng nelongso siwalankerto,siwalankerto 88 siwalankerto wonocolo 60234,2,3,wonocolo,-7.3391634,112.7409621,restoran,ID
3177,bakmi gm graha family,mayjen yono suwoyo babatan wiyung 60227,2806,4.4,wiyung,-7.2951877,112.6763073,restoran,ID
3117,pizza haq,kendangsari ykp b 10 kendangsari tenggilis mejoyo 60292,6,5,mejoyo,-7.3181678,112.748695,restoran,ID
3285,mixue ice cream tea wiyung,mmqj qvq raya wiyung babatan wiyung 60227,127,4.3,wiyung,-7.3105423,112.6822394,cafe,ID
2983,starbucks gubeng,raya gubeng 33 rt 002 rw 06 gubeng gubeng 60281,3042,4.7,gubeng,-7.2721094,112.7489293,cafe,ID
3224,ngastina,bawean 20 ngagel wonokromo 60246,158,4.5,wonokromo,-7.2778518,112.7469748,restoran,ID
1434,pizza hut restoran delta plaza surabaya,plaza pemuda 33 37 embong kaliasin genteng 60271,2404,4.7,genteng,-7.2644529,112.7424851,restoran,ID
3269,dimsum mbledos merr,dr ir h soekarno 53 kalijudan mulyorejo 60114,5746,4.4,mulyorejo,-7.2595452,112.7826906,restoran,ID
1856,aisya catering wedding,dan kebonsari 3 28 raya kebonsari 18 kebonsari jambangan 60233,952,4.9,jambangan,-7.3271511,112.7120595,restoran,ID
3212,dapur astin brownies cookies,ngaglik baru 3 23 kapasari genteng 60273,6,5,genteng,-7.2508143,112.752012,bakery,ID
3228,pangsit mie ayam kak rus,ww perumahan gn sari indah 21 kedurus karangpilang 60223,10,4.6,karangpilang,-7.3202746,112.7034508,restoran,ID
2956,roti o dtc wonokromo,darmo trade center jagir wonokromo jagir wonokromo 60244,2,4.5,wonokromo,-7.3023813,112.7355469,bakery,ID
3321,mixue kapas krampung,kapas krampung 97b rangkah tambaksari 60135,329,4.5,tambaksari,-7.2500704,112.7598326,cafe,ID
